py,year,age,pred,lower,upper,form,sex
1,2000,20,4.55414339518452,1.8956168785421,10.9411465463706,4.55 (1.90-10.94),m
1,2001,20,4.25341528379557,2.02675929260234,8.92633952263583,4.25 (2.03-8.93),m
1,2002,20,4.00545681457524,2.15241779488273,7.45379653131018,4.01 (2.15-7.45),m
1,2003,20,3.80320294092716,2.26896278398954,6.37487433110038,3.80 (2.27-6.37),m
1,2004,20,3.64107920961954,2.37211043525209,5.58888726835972,3.64 (2.37-5.59),m
1,2005,20,3.51474590530983,2.45734632536445,5.02714601168805,3.51 (2.46-5.03),m
1,2006,20,3.42090426546733,2.52127233514576,4.6415398409613,3.42 (2.52-4.64),m
1,2007,20,3.35715263833637,2.56413470960203,4.39542969208436,3.36 (2.56-4.40),m
1,2008,20,3.32188378517753,2.59221022650892,4.25695098699102,3.32 (2.59-4.26),m
1,2009,20,3.31421716320421,2.61728641966866,4.19672654942668,3.31 (2.62-4.20),m
1,2010,20,3.33396218399765,2.65293445281741,4.18981472856292,3.33 (2.65-4.19),m
1,2011,20,3.38161029513952,2.71087664220202,4.21829898497514,3.38 (2.71-4.22),m
1,2012,20,3.45835542321038,2.79944484535417,4.27235501820916,3.46 (2.80-4.27),m
1,2013,20,3.56614397197987,2.92289797116366,4.35094996621636,3.57 (2.92-4.35),m
1,2014,20,3.70775731517725,3.07931443609084,4.46445616177564,3.71 (3.08-4.46),m
1,2015,20,3.88693169158744,3.25555183196414,4.64076099994134,3.89 (3.26-4.64),m
1,2016,20,4.10852275497571,3.42305417616648,4.93125681319401,4.11 (3.42-4.93),m
1,2017,20,4.37872494148743,3.54885928261833,5.40264648054971,4.38 (3.55-5.40),m
1,2018,20,4.70535953568137,3.61897261260273,6.11787121099665,4.71 (3.62-6.12),m
1,2000,20,2.5310754474993,0.390154780860901,16.4200036375251,2.53 (0.39-16.42),f
1,2001,20,2.60429415166022,0.524735174264048,12.9252780469387,2.60 (0.52-12.93),f
1,2002,20,2.70754685824296,0.696129922254604,10.5308071887479,2.71 (0.70-10.53),f
1,2003,20,2.84421831370705,0.910440127021203,8.88534849896633,2.84 (0.91-8.89),f
1,2004,20,3.01891493994827,1.17301365057313,7.76960047326805,3.02 (1.17-7.77),f
1,2005,20,3.23772401069063,1.4873898480168,7.04782057197702,3.24 (1.49-7.05),f
1,2006,20,3.50856701757373,1.85402228574993,6.63964107196639,3.51 (1.85-6.64),f
1,2007,20,3.84167594385654,2.26944012251872,6.5031343683245,3.84 (2.27-6.50),f
1,2008,20,4.25023243219272,2.72764962662876,6.62272586306828,4.25 (2.73-6.62),f
1,2009,20,4.7512254099969,3.2262934851705,6.99692789895314,4.75 (3.23-7.00),f
1,2010,20,5.36660449500802,3.77700164471224,7.62521346692038,5.37 (3.78-7.63),f
1,2011,20,6.12483715604646,4.41314648619845,8.50042714544063,6.12 (4.41-8.50),f
1,2012,20,7.0630211036143,5.18991670039841,9.6121517916215,7.06 (5.19-9.61),f
1,2013,20,8.22976553768732,6.18066352174399,10.9582151765794,8.23 (6.18-10.96),f
1,2014,20,9.68914426585568,7.47206320377241,12.5640688581391,9.69 (7.47-12.56),f
1,2015,20,11.5261530838191,9.14506386747093,14.5272036190135,11.53 (9.15-14.53),f
1,2016,20,13.854292276926,11.203815055242,17.1317906934465,13.85 (11.20-17.13),f
1,2017,20,16.8261714098443,13.4506433819057,21.048810549414,16.83 (13.45-21.05),f
1,2018,20,20.6484412940924,15.5701591391097,27.3830295545687,20.65 (15.57-27.38),f
